player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,School_Yr,ht,porpag,adjoe,pfr,Date_Yr,pid,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Position
MIGUEL AYESA,William & Mary,CAA,11,15.8,94.2,16.2,48.5,47.8,0.0,1.1,8.0,13.6,0,1,0.0,1,1,1.0,10,32,0.313,0.0,1.1,3.0,Jr,77,0.0913509,87.9676,3.0,2022,71168,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,113.868,112.154,0.508709,12.6209,-6.56953,-1.41645,-5.15309,-5.10522,9.8182,-1.87569,-3.22953,0.0,0.0909,0.0909,0.3636,0.1818,0.0,2.9091,Combo G
BLONDEAU TCHOUKUIENGO,New Hampshire,AE,18,69.0,96.5,18.4,43.8,50.58,2.9,10.4,24.4,23.7,35,41,0.854,34,77,0.442,10,35,0.286,0.5,2.1,36.6,So,74,0.738985,92.9757,3.9,2022,71169,28.0,58.0,6.0,19.0,0.4828,0.3158,0.0,0.0,0.0,100.562,106.295,2.0065,87.5269,-2.44466,-1.46744,-0.977223,-2.99268,28.0526,-2.60161,-0.391072,0.7895,2.4737,3.2632,3.3158,1.1579,0.1579,7.9474,Scoring PG
MILES JAMES,Cal St. Northridge,BW,8,8.6,69.4,15.8,12.5,26.1,5.3,5.7,17.4,17.8,5,7,0.714,0,6,0.0,1,6,0.167,2.1,0.0,58.3,Sr,78,-0.497496,66.4673,3.9,2022,71170,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,106.079,101.823,0.673429,8.34737,-7.15715,-5.27495,-1.8822,-9.00458,7.4444,-5.73979,-3.2648,0.3333,0.3333,0.6667,0.6667,0.0,0.1111,0.8889,Scoring PG
KYLE RODE,Liberty,ASun,25,67.4,121.6,17.2,59.9,61.65,5.8,13.2,20.6,17.2,22,29,0.759,47,74,0.635,27,72,0.375,1.0,1.7,19.9,Jr,79,2.65704,113.658,3.0,2022,71171,29.0,47.0,18.0,27.0,0.617,0.6667,0.0,0.0,0.0,96.9904,100.051,2.54505,120.156,5.00217,3.69336,1.30881,3.97136,25.5862,2.59665,1.37471,1.1724,2.9655,4.1379,2.931,0.7241,0.2414,7.4138,Wing G
SHILOH ROBINSON,Liberty,ASun,25,37.1,102.9,16.7,55.8,58.33,6.5,24.3,3.5,20.0,21,31,0.677,37,59,0.627,4,18,0.222,5.3,0.5,40.3,Jr,79,0.522353,95.3996,5.1,2022,71173,35.0,53.0,2.0,6.0,0.6604,0.3333,7.0,7.0,1.0,92.9256,95.8578,1.61683,77.2414,-1.32855,-2.91796,1.58941,-1.88278,14.7241,-2.79751,0.914724,0.7241,2.8621,3.5862,0.3448,0.1379,0.6207,4.1379,PF/C
CHARLES COLEMAN,Saint Joseph's,A10,8,5.5,58.5,12.6,14.3,26.67,2.8,20.7,0.0,11.6,3,5,0.6,1,6,0.167,0,1,0.0,6.5,1.5,71.4,Jr,84,-0.591567,50.6269,4.0,2022,71174,1.0,4.0,0.0,2.0,0.25,0.0,0.0,0.0,0.0,95.098,96.0382,0.533291,8.76706,-8.9088,-9.47164,0.562841,-6.6006,5.4444,-7.30989,0.709286,0.1111,1.0,1.1111,0.0,0.1111,0.2222,0.7778,C
LUDGY DEBAUT,East Carolina,Amer,18,38.2,101.1,12.0,46.5,51.43,7.9,14.9,5.8,17.5,14,20,0.7,20,42,0.476,0,1,0.0,8.0,0.0,46.5,Sr,84,0.348609,91.8294,6.2,2022,71177,12.0,25.0,8.0,17.0,0.48,0.4706,3.0,6.0,0.5,99.5651,98.0031,1.5513,51.1854,0.72762,-2.98989,3.71751,-2.51951,15.5789,-4.14339,1.62388,1.2105,1.8947,3.1053,0.4737,0.0,1.0,3.1579,C
ANDREI SAVRASOV,Georgia Southern,SB,20,32.9,107.7,14.6,47.0,47.7,6.0,21.3,8.0,6.8,3,4,0.75,27,51,0.529,8,32,0.25,6.4,2.0,4.8,Jr,79,0.58157,96.8168,3.7,2022,71179,24.0,36.0,3.0,15.0,0.6667,0.2,3.0,3.0,1.0,96.7595,100.462,1.34784,65.0257,1.25427,-1.29984,2.55411,0.703459,15.3043,-0.533057,1.23652,0.9565,2.6957,3.6522,0.7826,0.5652,0.7391,4.5217,Stretch 4
RUSSEL TCHEWA,South Florida,Amer,21,29.0,82.1,18.3,43.9,44.32,9.1,13.6,1.7,22.2,14,32,0.438,25,57,0.439,0,0,0.0,2.5,1.2,56.1,Jr,84,-0.0540585,83.9125,6.7,2022,71180,12.0,21.0,13.0,36.0,0.5714,0.3611,7.0,8.0,0.875,104.769,102.006,1.01613,42.9223,-5.16337,-4.3605,-0.80287,-6.14404,11.7273,-5.64163,-0.502412,1.0,1.3636,2.3636,0.0909,0.2273,0.2727,3.2727,C
TERRENCE SHANNON JR.,Texas Tech,B12,28,64.1,111.9,23.7,50.4,55.47,4.9,12.8,11.1,12.8,90,119,0.756,90,184,0.489,30,84,0.357,0.7,2.5,44.4,Jr,78,3.44503,122.651,2.6,2022,71181,57.0,84.0,33.0,100.0,0.6786,0.33,14.0,14.0,1.0,94.2639,89.8018,3.4504,141.358,4.87409,3.71013,1.16395,6.56874,26.7857,4.45158,2.11715,1.1429,2.8214,3.9643,1.3929,1.1429,0.1429,12.8571,Wing G
CLARENCE NADOLNY,Texas Tech,B12,24,18.2,97.0,13.3,46.8,50.75,1.1,13.6,12.3,21.1,15,26,0.577,7,13,0.538,5,18,0.278,0.0,1.1,83.9,Jr,75,0.176161,91.0058,6.6,2022,71182,5.0,8.0,2.0,5.0,0.625,0.4,0.0,0.0,0.0,96.7755,93.0281,1.04862,36.1076,-0.240058,-0.53019,0.290131,-3.37976,8.875,-4.66204,1.28228,0.0833,1.0,1.0833,0.625,0.1667,0.0,1.8333,Wing G
TYREEK SMITH,Oklahoma St.,B12,29,21.1,130.3,13.7,64.1,64.08,9.8,24.5,3.9,8.9,17,28,0.607,25,38,0.658,3,8,0.375,10.5,0.5,60.9,So,79,1.14596,124.364,3.4,2022,71185,24.0,34.0,1.0,4.0,0.7059,0.25,12.0,12.0,1.0,89.3967,85.3493,1.22795,55.6287,7.11199,1.72774,5.38426,7.24246,8.5172,3.78479,3.45767,0.7241,1.7241,2.4483,0.1724,0.069,0.7241,2.6207,PF/C
CALEB HODGSON,Central Michigan,MAC,16,11.9,88.3,17.8,34.6,48.4,10.1,9.4,0.0,22.3,16,27,0.593,3,6,0.5,1,7,0.143,1.1,1.1,207.7,So,72,-0.0177003,84.3967,8.0,2022,71188,2.0,3.0,1.0,3.0,0.6667,0.3333,0.0,0.0,0.0,115.045,113.701,0.279267,14.6619,-10.2676,-3.5894,-6.67817,-9.67096,5.7647,-5.72032,-3.95063,0.5294,0.4706,1.0,0.0,0.1176,0.0588,1.4706,Stretch 4
DONOVAN CLAY,Missouri St.,MVC,26,83.0,87.6,21.7,42.6,46.11,4.4,14.8,14.6,18.3,49,71,0.69,80,165,0.485,20,93,0.215,3.6,1.1,27.5,Jr,79,0.567687,90.1806,3.2,2022,71191,52.0,89.0,28.0,76.0,0.5843,0.3684,5.0,5.0,1.0,102.075,100.51,3.08295,153.865,-0.268968,-2.06375,1.79478,-1.76296,32.5357,-2.05451,0.291542,1.25,4.2857,5.5357,2.25,0.75,1.25,10.0714,Stretch 4
CARTER MURPHY,Air Force,MWC,8,17.2,87.6,14.5,44.6,51.89,1.6,11.2,11.3,25.1,8,8,1.0,5,9,0.556,5,19,0.263,1.5,2.2,28.6,Jr,76,-0.336747,80.742,4.9,2022,71199,4.0,6.0,1.0,3.0,0.6667,0.3333,0.0,0.0,0.0,112.897,113.927,0.994404,26.6666,-4.59935,-3.05856,-1.54079,-6.17194,21.5,-4.19399,-1.97795,0.25,1.75,2.0,1.125,0.75,0.25,4.125,Wing G
NATHAN SCOTT,Eastern Michigan,MAC,14,32.3,100.7,17.7,44.5,45.98,7.5,17.4,8.4,10.8,10,18,0.556,19,44,0.432,9,29,0.31,1.9,1.7,24.7,Sr,80,0.664431,96.1088,2.8,2022,71203,15.0,27.0,4.0,17.0,0.5556,0.2353,4.0,5.0,0.8,113.107,111.322,0.9755,43.1908,-2.34577,-0.0222775,-2.32349,-1.75789,17.6429,0.176514,-1.93441,1.2857,2.5714,3.8571,0.7143,0.5,0.2857,5.3571,Wing F
CHARLES BURNS,Northern Arizona,BSky,10,0.9,110.9,14.7,75.0,60.61,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0.0,1,2,0.5,0.0,0.0,50.0,Jr,73,0.0524416,104.147,0.0,2022,71204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.714,118.49,0.0243339,0.764817,-5.5181,2.19531,-7.71341,-0.602759,0.8,4.29469,-4.89745,0.0,0.0,0.0,0.0,0.0,0.0,0.3,Combo G
MALEECK HARDEN-HAYES,North Dakota St.,Sum,22,51.5,114.3,17.7,58.7,62.59,8.3,16.2,4.7,18.8,46,61,0.754,47,78,0.603,18,48,0.375,0.4,0.5,48.4,Jr,79,2.00381,108.112,2.9,2022,71205,26.0,36.0,21.0,42.0,0.7222,0.5,6.0,6.0,1.0,103.851,102.037,2.21093,90.1269,-0.192296,1.23841,-1.43071,0.745018,25.4091,1.43783,-0.692813,1.7273,3.5,5.2273,0.5909,0.2273,0.0909,8.8182,Wing F
TRAVIS EVEE,Rice,CUSA,23,73.2,103.2,21.3,51.7,54.28,0.8,6.9,15.1,15.6,35,41,0.854,39,96,0.406,66,171,0.386,0.4,1.8,15.4,Jr,73,2.22072,105.364,2.3,2022,71206,24.0,46.0,15.0,50.0,0.5217,0.3,0.0,0.0,0.0,106.905,108.851,2.03256,121.918,-0.963353,1.32862,-2.29197,-0.723028,31.0385,0.711203,-1.43423,0.2308,1.9231,2.1538,2.3462,1.1538,0.1538,13.6923,Combo G
