player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,School_Yr,ht,porpag,adjoe,pfr,Date_Yr,pid,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Position
ISAIAH FELDER,South Carolina St.,MEAC,11,17.6,61.1,18.6,34.7,35.18,2.5,15.7,8.1,30.4,1,2,0.5,2,8,0.25,7,28,0.25,0.0,0.9,5.6,Sr,72,-1.11,57.5491,2.8,2022,39014,2.0,4.0,0.0,4.0,0.5,0.0,0.0,0.0,0.0,110.192,116.018,0.450228,21.5242,-11.2376,-7.65745,-3.5802,-11.9072,11.5455,-7.49472,-4.41253,0.2727,1.4545,1.7273,0.4545,0.1818,0.0,2.3636,Wing G
JALEN COLEMAN-LANDS,Kansas,B12,23,78.5,103.1,21.5,54.0,56.12,3.6,10.2,7.8,16.1,31,36,0.861,62,129,0.481,58,147,0.395,0.3,1.4,13.0,Sr,76,2.97703,111.426,3.5,2022,40204,14.0,26.0,48.0,103.0,0.5385,0.466,0.0,0.0,0.0,111.792,104.306,2.61067,114.531,1.06444,2.41992,-1.35548,1.87461,32.7826,2.89361,-1.019,1.0435,2.8696,3.913,1.1739,0.8261,0.087,14.3043,Wing G
K.J. WALTON,Akron,MAC,20,63.0,108.6,26.5,54.3,58.88,9.1,12.6,8.9,17.2,73,92,0.793,127,231,0.55,0,3,0.0,0.7,2.4,39.3,Sr,75,3.09736,116.101,3.3,2022,41728,101.0,153.0,39.0,99.0,0.6601,0.3939,4.0,4.0,1.0,102.687,101.181,2.61834,115.797,1.2019,1.14748,0.0544167,2.45207,29.3,2.78785,-0.335789,2.35,3.55,5.9,1.15,1.25,0.2,16.35,Wing G
JERIAH HORNE,Tulsa,Amer,32,61.3,116.0,20.8,55.2,58.61,5.8,23.0,7.5,13.0,48,53,0.906,71,139,0.511,52,131,0.397,0.3,1.5,19.6,Sr,79,3.27789,123.812,2.6,2022,44216,38.0,59.0,33.0,80.0,0.6441,0.4125,3.0,5.0,0.6,94.5248,89.0636,3.2469,156.594,5.48359,4.02187,1.46172,6.94537,24.5,5.22379,1.72158,1.125,4.7188,5.8438,0.9062,0.5938,0.0625,10.8125,Stretch 4
ERIC CURRY,Minnesota,B10,29,39.2,95.1,14.7,46.3,48.72,7.0,13.7,10.2,20.7,18,29,0.621,38,74,0.514,4,21,0.19,1.5,2.9,30.5,Sr,81,0.435561,93.2541,4.9,2022,44217,18.0,30.0,20.0,43.0,0.6,0.4651,0.0,0.0,0.0,100.182,93.0315,1.86374,94.0276,2.45292,-0.559305,3.01222,1.49355,15.8966,-1.25322,2.74677,1.1034,1.9655,3.069,0.8276,0.8276,0.2414,3.6552,Wing F
JAILYN INGRAM,Georgia,SEC,18,59.2,98.4,23.5,46.0,47.59,5.3,22.7,14.7,15.6,16,22,0.727,48,116,0.414,25,70,0.357,1.8,1.8,11.8,Sr,79,1.3627,100.968,2.8,2022,44344,26.0,45.0,22.0,71.0,0.5778,0.3099,4.0,5.0,0.8,97.3568,100.272,2.34024,92.941,0.27805,-0.491247,0.769296,1.49149,23.9545,1.32912,0.162368,1.2727,4.7273,6.0,1.7273,0.9091,0.4091,12.4091,Stretch 4
CHARLIE MOORE,Miami FL,ACC,16,67.1,96.3,26.6,47.4,50.23,2.5,9.6,28.2,21.9,32,42,0.762,57,128,0.445,28,81,0.346,0.0,1.9,20.1,Sr,71,2.68362,109.564,2.9,2022,44420,34.0,73.0,23.0,56.0,0.4658,0.4107,0.0,0.0,0.0,103.6,98.3411,3.19216,87.1473,2.09523,2.11518,-0.0199582,1.41982,32.3125,1.58012,-0.160305,0.75,2.875,3.625,4.1875,1.0625,0.0,14.375,Scoring PG
BEN SHUNGU,Vermont,AE,15,73.0,114.7,20.4,51.9,59.99,2.3,15.9,23.0,18.6,51,59,0.864,36,64,0.563,13,43,0.302,1.1,1.6,55.1,Sr,74,2.80473,112.955,2.8,2022,44546,30.0,43.0,6.0,21.0,0.6977,0.2857,0.0,0.0,0.0,94.2022,100.348,2.72453,84.2223,2.59788,2.35285,0.245032,3.20415,29.6667,2.20548,0.998674,0.5333,4.0,4.5333,3.5333,0.8,0.2667,10.8,Combo G
KEON CLERGEOT,Southeastern Louisiana,Slnd,24,72.7,101.5,25.9,47.1,57.34,2.6,9.1,15.7,22.9,154,192,0.802,67,148,0.453,31,93,0.333,0.3,1.7,79.7,Sr,73,2.09826,104.472,3.8,2022,44685,52.0,97.0,15.0,51.0,0.5361,0.2941,3.0,3.0,1.0,109.842,112.655,1.5943,124.906,-4.13495,-0.464478,-3.67048,-2.1961,31.9583,0.146347,-2.34245,0.7917,2.25,3.0417,2.1667,1.0,0.0833,15.875,Combo G
BRYCE AIKEN,Seton Hall,BE,14,18.4,99.5,23.5,38.9,47.16,0.0,7.5,20.9,13.7,24,27,0.889,13,35,0.371,10,37,0.27,0.0,1.5,37.5,Sr,72,1.25818,110.736,3.4,2022,44711,11.0,23.0,2.0,12.0,0.4783,0.1667,0.0,0.0,0.0,106.515,98.2395,1.43278,29.3843,-2.02187,0.63282,-2.65469,-1.4947,14.3571,-0.495075,-0.999621,0.0,0.9286,0.9286,1.5,0.3571,0.0,5.7143,Scoring PG
PETER KISS,Bryant,NEC,21,82.9,114.0,22.5,56.9,61.44,5.3,14.4,18.1,19.3,67,77,0.87,87,162,0.537,35,83,0.422,0.8,2.6,31.4,Sr,77,3.20409,113.116,3.0,2022,44721,68.0,117.0,19.0,45.0,0.5812,0.4222,7.0,7.0,1.0,97.4143,101.315,2.98335,155.249,3.49823,2.75147,0.746752,3.99882,32.9091,3.05264,0.946175,1.5,4.9545,6.4545,3.1818,1.8636,0.2727,16.6364,Wing G
GEORGE WILLBORN III,UC Riverside,BW,21,34.6,102.7,19.2,52.8,54.25,5.2,11.6,4.4,14.3,17,28,0.607,20,47,0.426,18,42,0.429,0.4,2.7,31.5,Sr,75,0.758698,100.341,5.1,2022,44754,18.0,42.0,2.0,5.0,0.4286,0.4,0.0,0.0,0.0,94.0085,95.0489,1.61983,59.4633,-0.0280529,-0.274408,0.246355,0.0748108,14.6667,-1.12985,1.20466,0.619,1.5238,2.1429,0.3333,0.6667,0.0476,5.2857,Wing G
KEVIN MARFO,Quinnipiac,MAAC,17,29.9,97.0,15.0,46.4,55.11,12.8,23.2,4.7,28.2,19,27,0.704,13,27,0.481,0,1,0.0,4.0,3.1,96.4,Sr,80,0.306744,92.2454,4.8,2022,44755,9.0,19.0,4.0,8.0,0.4737,0.5,3.0,4.0,0.75,94.1662,91.526,1.56801,50.4644,2.22421,-1.51538,3.73959,0.440614,12.6471,-1.51506,1.95567,1.3529,2.3529,3.7059,0.2941,0.6471,0.3529,2.6471,C
JAIR BOLDEN,Butler,BE,25,81.4,96.7,17.8,46.2,48.44,1.4,12.3,6.1,10.1,30,41,0.732,28,79,0.354,59,173,0.341,0.7,1.3,16.3,Sr,75,1.59176,99.3478,2.0,2022,44756,1.0,3.0,27.0,76.0,0.3333,0.3553,0.0,0.0,0.0,106.356,99.8726,3.09305,128.165,0.676386,0.759902,-0.0835155,0.571154,33.04,0.617349,-0.0461956,0.4,3.08,3.48,0.92,0.68,0.2,10.52,Wing G
DAVION MINTZ,Kentucky,SEC,25,76.4,105.9,19.8,51.2,53.14,2.7,8.4,20.6,17.6,40,61,0.656,40,95,0.421,56,147,0.381,0.7,1.9,25.2,Sr,75,2.92188,112.797,2.5,2022,44793,27.0,43.0,13.0,52.0,0.6279,0.25,4.0,5.0,0.8,103.403,96.7608,3.23529,123.123,4.76166,4.39809,0.36357,4.35504,30.88,3.3843,0.97074,0.76,2.4,3.16,3.08,1.0,0.2,11.52,Combo G
TYSON JOLLY,Iona,MAAC,8,28.5,95.0,20.3,50.9,52.95,4.2,17.2,5.7,20.0,15,25,0.6,16,35,0.457,9,23,0.391,2.4,0.6,43.1,Sr,76,1.48733,102.931,4.7,2022,44846,14.0,23.0,2.0,12.0,0.6087,0.1667,1.0,1.0,1.0,97.7564,94.5733,2.75015,36.734,-1.80618,-1.48632,-0.319866,0.108322,24.25,0.153864,-0.0455424,0.875,3.875,4.75,0.75,0.25,0.5,9.25,Wing G
AJ WILSON,South Carolina,SEC,20,52.0,90.2,22.5,41.5,42.59,8.0,17.6,7.3,12.5,20,40,0.5,63,150,0.42,5,20,0.25,9.8,0.5,23.5,Sr,79,0.592716,93.0846,3.8,2022,44849,37.0,55.0,26.0,95.0,0.6727,0.2737,9.0,12.0,0.75,96.6954,95.9197,2.37243,93.1217,-0.524975,-3.6688,3.14383,-1.63115,22.8571,-2.42334,0.792186,1.619,3.3333,4.9524,0.8095,0.3333,2.0952,7.7619,PF/C
XAVIER GREEN,Maryland,B10,22,84.5,80.8,15.5,39.1,42.18,2.3,10.8,12.3,24.8,22,30,0.733,37,103,0.359,17,57,0.298,1.0,1.4,18.8,Sr,78,-1.06674,76.1627,2.7,2022,44944,12.0,26.0,25.0,77.0,0.4615,0.3247,3.0,3.0,1.0,103.749,104.575,2.6607,118.755,-2.46022,-2.74665,0.286428,-4.17195,34.1304,-3.67215,-0.499795,0.7391,3.1739,3.913,2.5652,0.8261,0.2609,6.6957,Wing G
TAREQ COBURN,St. John's,BE,21,75.0,120.9,19.4,56.5,62.04,3.9,9.1,5.1,11.6,82,100,0.82,38,74,0.514,53,134,0.396,2.6,2.2,48.1,Sr,77,3.89579,119.43,2.8,2022,45017,34.0,55.0,4.0,19.0,0.6182,0.2105,2.0,2.0,1.0,106.526,107.774,2.22087,120.276,4.06416,4.63546,-0.571305,4.32766,33.0476,4.59758,-0.269915,1.1429,2.619,3.7619,0.8571,1.2381,0.8095,15.0952,Wing G
TAVIAN DUNN-MARTIN,Florida Gulf Coast,ASun,18,75.4,92.8,21.6,43.9,47.67,0.8,8.1,23.7,21.8,32,42,0.762,29,70,0.414,31,102,0.304,0.0,1.9,24.4,Sr,68,1.18264,96.5536,1.9,2022,45090,17.0,33.0,12.0,37.0,0.5152,0.3243,0.0,0.0,0.0,102.384,101.103,2.73763,84.3442,-1.37867,0.104617,-1.48329,-1.03604,30.1667,-0.525115,-0.510929,0.2222,2.1667,2.3889,3.5556,1.0,0.0,10.1667,Scoring PG
JAKOLBY LONG,Bethune Cookman,SWAC,12,6.2,89.3,14.9,50.0,59.91,2.0,12.0,9.4,32.7,5,6,0.833,4,8,0.5,0,0,0.0,1.9,2.9,75.0,Sr,77,-0.0442726,82.8002,3.2,2022,45184,3.0,7.0,1.0,1.0,0.4286,1.0,0.0,0.0,0.0,101.761,102.245,0.450935,11.9258,-3.59824,-5.08853,1.4903,-3.26467,5.6154,-3.92821,0.663537,0.0769,0.6923,0.7692,0.3846,0.3077,0.0769,1.1538,Combo G
TAZE MOORE,Houston,Amer,21,49.8,105.7,29.8,51.8,56.25,5.4,17.5,25.8,22.8,51,62,0.823,76,164,0.463,18,35,0.514,3.4,3.7,31.2,Sr,77,2.47705,116.607,3.3,2022,45252,57.0,105.0,19.0,59.0,0.5429,0.322,10.0,12.0,0.8333,94.7677,96.7974,2.40649,105.014,5.29142,2.11735,3.17407,7.91549,22.3478,5.18845,2.72705,1.087,2.9565,4.0435,2.7391,1.3043,0.6087,12.2609,Combo G
JUSTIN EDLER-DAVIS,Cal St. Bakersfield,BW,24,68.0,114.3,17.2,50.8,54.46,7.0,11.4,5.8,14.2,38,47,0.809,35,83,0.422,40,104,0.385,1.0,0.9,25.1,Sr,76,2.21798,108.762,3.8,2022,45253,17.0,28.0,18.0,55.0,0.6071,0.3273,0.0,0.0,0.0,104.001,104.855,2.11358,98.7754,0.948337,2.2855,-1.33717,0.16992,26.4615,1.34845,-1.17853,1.6538,2.2692,3.9231,0.8462,0.4615,0.1923,9.3077,Wing G
GREG LEE,Penn St.,B10,20,68.3,99.5,28.5,52.7,54.21,6.7,23.7,22.8,18.9,31,47,0.66,104,187,0.556,9,36,0.25,0.8,0.5,21.1,Sr,81,2.18902,108.363,3.1,2022,45254,46.0,62.0,58.0,125.0,0.7419,0.464,5.0,5.0,1.0,105.998,103.386,2.2612,103.866,0.965347,0.655774,0.309573,1.61032,27.0,1.92197,-0.311651,1.4762,5.7619,7.2381,2.381,0.2857,0.1905,12.9524,PF/C
BRANDON JOHNSON,DePaul,BE,28,61.4,114.7,16.5,50.0,55.22,8.4,17.9,5.4,9.5,70,98,0.714,68,123,0.553,14,55,0.255,2.6,1.8,55.1,Sr,80,2.71534,116.052,3.9,2022,45288,49.0,73.0,19.0,50.0,0.6712,0.38,13.0,14.0,0.9286,100.521,92.9314,3.02643,145.074,4.26222,2.21944,2.04278,4.41052,25.75,2.791,1.61952,2.1429,4.1429,6.2857,0.6786,0.8214,0.6786,8.8571,Stretch 4
GRANT GOLDEN,Richmond,A10,20,63.2,108.0,26.3,58.8,59.92,5.1,21.5,26.6,19.3,32,48,0.667,104,182,0.571,9,18,0.5,2.0,1.2,24.0,Sr,72,3.37181,120.209,2.8,2022,45309,62.0,85.0,42.0,97.0,0.7294,0.433,3.0,3.0,1.0,100.861,97.5995,2.86082,103.265,4.44306,2.36593,2.07713,5.29152,27.3333,4.24008,1.05144,1.1429,4.9048,6.0476,3.4762,0.5714,0.4762,12.7143,PF/C
DE'MONTE BUCKINGHAM,UNC Greensboro,SC,24,47.5,103.7,21.0,43.7,47.66,6.2,20.6,13.3,15.3,28,34,0.824,42,96,0.438,18,62,0.29,0.6,1.6,21.5,Sr,76,1.24376,104.136,3.2,2022,45310,18.0,32.0,24.0,64.0,0.5625,0.375,0.0,0.0,0.0,99.8007,100.62,1.75465,83.0792,-0.184221,0.37883,-0.563051,1.24405,19.6923,1.21504,0.0290077,0.9615,3.3462,4.3077,1.2692,0.5769,0.1538,7.0769,Wing G
CHANCE GARVIN,Idaho,BSky,12,25.4,74.1,16.7,44.4,43.53,2.8,12.6,19.2,33.0,0,2,0.0,5,13,0.385,10,32,0.313,1.0,2.1,4.4,Sr,76,-1.0424,69.3051,3.7,2022,45345,1.0,4.0,4.0,9.0,0.25,0.4444,1.0,1.0,1.0,111.575,111.197,1.04945,38.8342,-4.68132,-3.40759,-1.27373,-5.18197,18.8333,-4.18751,-0.994459,0.4167,1.9167,2.3333,1.75,0.6667,0.1667,3.3333,Scoring PG
PERRY FRANCOIS,Charlotte,CUSA,21,44.8,100.0,18.9,55.4,54.82,8.2,13.6,13.3,18.1,18,37,0.486,56,101,0.554,0,0,0.0,5.6,1.4,36.6,Sr,80,0.722938,96.8917,6.0,2022,45359,26.0,42.0,30.0,59.0,0.619,0.5085,11.0,12.0,0.9167,103.753,108.273,1.17937,72.466,-0.7018,-1.60926,0.907457,-1.24654,18.875,-1.54691,0.300366,1.5417,2.2917,3.8333,0.9583,0.4583,1.0417,7.3333,C
VITTORIO REYNOSO-AVILA,Santa Clara,WCC,8,2.2,90.6,4.4,0.0,0.0,13.2,12.7,0.0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,6.0,0.0,0.0,Sr,77,-0.114133,69.7775,2.4,2022,45361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.195,97.4257,0.219959,3.17194,-3.88253,-4.27323,0.390694,-2.77611,2.2222,-2.42173,-0.35438,0.3333,0.3333,0.6667,0.0,0.0,0.1111,0.0,PF/C
RANDY MILLER JR.,North Carolina Central,MEAC,24,51.1,84.1,19.3,39.5,45.25,0.7,10.1,7.1,18.5,36,48,0.75,24,70,0.343,19,63,0.302,0.0,1.6,36.1,Sr,74,-0.0577198,84.4427,2.1,2022,45477,15.0,26.0,9.0,44.0,0.5769,0.2045,0.0,0.0,0.0,102.531,100.599,1.89236,78.0631,-4.33603,-3.23153,-1.10449,-3.68331,20.52,-3.25032,-0.432993,0.16,1.68,1.84,0.72,0.6,0.0,6.4,Wing G
RYAN GOMES,Houston Baptist,Slnd,20,20.0,78.6,14.2,52.9,53.56,5.7,13.3,3.9,35.3,5,9,0.556,18,34,0.529,0,0,0.0,6.4,0.3,26.5,Sr,72,-0.509649,69.9407,6.0,2022,45478,16.0,26.0,2.0,8.0,0.6154,0.25,1.0,2.0,0.5,110.214,113.368,0.46215,34.1971,-7.74999,-7.26047,-0.489524,-8.78894,9.8095,-7.34777,-1.44116,0.4762,1.2857,1.7619,0.2381,0.0476,0.5714,2.2381,C
NOLAN TAYLOR,Southeast Missouri St.,OVC,18,29.7,110.6,23.2,55.7,57.92,8.6,18.2,12.5,12.9,40,64,0.625,59,106,0.557,0,0,0.0,0.7,0.9,60.4,Sr,79,1.63736,111.887,5.1,2022,45530,48.0,75.0,11.0,31.0,0.64,0.3548,0.0,0.0,0.0,103.136,106.461,1.27848,56.5314,-2.33116,-0.135288,-2.19587,0.0970243,18.3333,1.28434,-1.18731,1.3333,2.7222,4.0556,0.8889,0.2778,0.1111,8.7778,PF/C
SCOTT SPENCER,Tulane,Amer,19,38.3,93.0,19.4,51.3,51.75,4.4,13.1,6.4,20.9,7,12,0.583,12,43,0.279,32,74,0.432,0.3,1.6,10.3,Sr,78,0.63738,94.6881,2.4,2022,45562,5.0,7.0,7.0,36.0,0.7143,0.1944,0.0,0.0,0.0,108.617,107.518,1.33377,58.9866,-2.87774,-0.442412,-2.43533,-0.556966,19.4,1.47287,-2.02984,0.7,2.0,2.7,0.6,0.55,0.05,7.0,Wing G
ALGEVON EICHELBERGER,Cleveland St.,Horz,19,27.8,98.0,25.0,45.6,50.77,12.0,12.0,14.3,20.9,34,51,0.667,40,88,0.455,1,3,0.333,1.6,1.5,56.0,Sr,80,0.781061,99.553,5.2,2022,45568,32.0,59.0,8.0,29.0,0.5424,0.2759,0.0,0.0,0.0,104.813,103.524,1.29645,51.6215,-2.36316,-1.76512,-0.598039,-2.681,16.1579,-1.93064,-0.750365,1.6316,1.6842,3.3158,1.1579,0.4211,0.2105,6.1579,Wing F
ERON GORDON,Valparaiso,MVC,26,72.6,91.7,15.1,48.6,52.48,1.4,19.6,10.3,21.3,42,62,0.677,29,61,0.475,27,82,0.329,1.6,1.4,43.4,Sr,75,0.0554334,85.8061,2.0,2022,45571,23.0,42.0,6.0,19.0,0.5476,0.3158,0.0,0.0,0.0,101.018,99.4696,2.79887,140.573,-0.323141,-2.12743,1.80428,-0.516256,28.9286,-1.45236,0.936108,0.3214,4.75,5.0714,1.6071,0.7857,0.3929,6.8214,Wing G
MITCH LIGHTFOOT,Kansas,B12,29,26.4,96.7,18.7,52.6,54.23,10.7,14.4,2.5,23.2,16,26,0.615,38,70,0.543,2,8,0.25,7.6,0.6,33.3,Sr,80,0.566484,100.743,6.0,2022,45620,19.0,29.0,19.0,41.0,0.6552,0.4634,5.0,7.0,0.7143,96.9144,90.5661,1.34198,59.9821,0.699081,-2.53018,3.22927,-1.35627,10.6,-3.05315,1.69688,1.0667,1.4,2.4667,0.1333,0.1,0.8,3.4,C
NATE JOHNSON,Xavier,BE,16,58.4,112.7,16.5,57.9,59.92,2.8,11.6,9.5,14.0,20,25,0.8,18,47,0.383,42,93,0.452,0.2,2.2,17.9,Sr,76,2.64323,110.02,1.8,2022,45625,9.0,20.0,9.0,27.0,0.45,0.3333,3.0,3.0,1.0,102.023,97.7261,3.15188,87.3567,4.25221,3.55492,0.697289,3.47507,31.0,2.73253,0.742542,0.75,3.4375,4.1875,1.6875,1.1875,0.0625,11.375,Combo G
DREW BUGGS,Winthrop,BSth,26,33.8,84.1,13.4,35.3,38.76,1.3,8.5,23.4,27.4,12,23,0.522,12,31,0.387,4,20,0.2,1.2,1.8,45.1,Sr,75,-0.221626,80.5331,3.4,2022,45642,8.0,15.0,4.0,16.0,0.5333,0.25,0.0,0.0,0.0,104.496,98.2127,1.36292,57.606,-1.05925,-1.69935,0.640099,-0.7569,13.6538,-2.07368,1.31678,0.1538,1.0385,1.1923,1.8846,0.4231,0.1538,1.8462,Scoring PG
DEVIN KIRBY,Montana St.,BSky,18,28.2,110.5,7.0,64.3,52.04,8.8,9.2,5.2,17.3,3,13,0.231,9,14,0.643,0,0,0.0,1.9,0.2,92.9,Sr,83,0.0771733,86.9515,6.0,2022,45746,8.0,12.0,1.0,2.0,0.6667,0.5,0.0,1.0,0.0,107.753,109.359,0.814489,35.483,-1.26845,-1.09941,-0.169035,-3.76937,13.45,-3.14393,-0.625437,1.2,1.1,2.3,0.4,0.05,0.25,1.5,C
BEN COUPET JR.,Southern Illinois,MVC,25,80.6,111.3,16.3,55.4,58.23,4.0,9.6,12.5,17.2,48,67,0.716,43,80,0.537,43,114,0.377,1.0,2.0,34.5,Sr,79,2.11598,104.171,2.6,2022,45818,26.0,43.0,17.0,37.0,0.6047,0.4595,4.0,5.0,0.8,103.423,106.679,2.3018,137.321,0.428731,1.47954,-1.05081,0.763727,31.8846,1.21706,-0.453334,1.0385,2.5385,3.5769,1.9231,1.0385,0.2692,10.3462,Wing G
KENNY COOPER,Tennessee St.,OVC,24,31.3,82.2,14.8,34.7,40.96,1.3,8.6,19.8,28.9,19,30,0.633,10,32,0.313,7,27,0.259,0.9,2.4,50.8,Sr,72,-0.482694,76.0866,4.5,2022,45823,7.0,18.0,3.0,14.0,0.3889,0.2143,0.0,0.0,0.0,100.087,99.2063,1.47313,62.807,-2.58405,-2.8319,0.247846,-3.7546,15.25,-4.8136,1.05901,0.1667,1.1667,1.3333,1.75,0.625,0.125,2.5,Scoring PG
JAMES SCOTT,Eastern Michigan,MAC,18,75.9,92.7,30.3,45.1,47.95,5.2,14.6,23.0,19.2,55,90,0.611,71,169,0.42,26,75,0.347,0.2,3.0,36.9,Sr,77,1.71455,101.539,3.4,2022,45828,35.0,69.0,36.0,100.0,0.5072,0.36,1.0,1.0,1.0,96.1971,98.2436,3.05488,106.469,0.545745,0.146125,0.39962,1.78592,28.9091,1.47596,0.309963,1.5909,3.4091,5.0,2.6364,1.5909,0.0455,13.7273,Combo G
NICK HOPKINS,Siena,MAAC,11,54.6,122.4,10.4,56.1,58.42,2.0,8.8,5.6,6.3,12,16,0.75,10,18,0.556,18,48,0.375,0.0,2.3,24.2,Sr,72,2.16125,103.723,2.0,2022,45835,4.0,9.0,6.0,9.0,0.4444,0.6667,0.0,0.0,0.0,97.6432,103.927,2.73021,62.6759,1.69553,1.60375,0.0917782,0.315602,33.7273,-0.594437,0.910039,0.5455,2.6364,3.1818,1.0,1.2727,0.0,7.8182,Combo G
DEANDRE DISHMAN,Middle Tennessee,CUSA,22,59.4,83.7,19.6,40.6,43.12,6.6,16.8,9.5,19.1,27,48,0.563,58,142,0.408,0,1,0.0,1.0,3.6,33.6,Sr,78,-0.07555,84.3399,2.8,2022,45840,35.0,71.0,21.0,68.0,0.493,0.3088,1.0,2.0,0.5,98.8633,99.8049,2.26446,111.297,-1.41016,-3.18286,1.7727,-1.51333,23.4348,-2.64819,1.13486,1.4783,3.087,4.5652,1.0,1.4783,0.2174,6.3478,Wing G
OSINACHI SMART,College of Charleston,CAA,17,64.5,115.1,11.9,64.8,63.74,10.9,19.2,1.7,21.1,17,30,0.567,35,54,0.648,0,0,0.0,2.0,1.4,55.6,Sr,80,1.35253,100.373,3.4,2022,45853,30.0,36.0,5.0,18.0,0.8333,0.2778,9.0,10.0,0.9,105.299,106.04,1.89819,79.0269,-1.49077,-0.653323,-0.837445,-1.89346,25.7895,-0.771446,-1.12202,2.2105,4.0526,6.2632,0.2632,0.5789,0.3684,4.8947,C
COREY ALLEN,Georgia St.,SB,20,79.3,112.1,21.3,55.4,58.85,1.9,12.3,15.3,16.4,47,56,0.839,48,99,0.485,53,131,0.405,0.3,1.1,24.3,Sr,74,2.94241,111.999,2.7,2022,45896,23.0,35.0,25.0,64.0,0.6571,0.3906,0.0,0.0,0.0,105.523,107.891,2.13059,108.077,0.500044,2.83519,-2.33514,1.88298,31.6364,3.33243,-1.44945,0.5455,3.5455,4.0909,2.7273,0.8182,0.0909,14.9545,Wing G
JUSTIN HOPKINS,Texas Southern,SWAC,25,72.5,104.0,15.3,46.2,53.19,5.2,9.2,7.6,18.1,67,89,0.753,47,100,0.47,17,57,0.298,0.3,1.6,56.7,Sr,77,1.03137,95.4996,1.9,2022,45906,40.0,75.0,7.0,24.0,0.5333,0.2917,6.0,6.0,1.0,102.016,108.428,1.90921,117.236,-1.10194,-0.0176035,-1.08434,-1.39516,28.6538,-0.441919,-0.953245,1.3462,2.6154,3.9615,1.2308,0.8077,0.0769,8.2692,Wing G
DAMIEN SEARS,Southern,SWAC,22,25.5,114.2,13.6,71.8,68.71,11.5,19.6,5.4,25.7,10,19,0.526,28,38,0.737,0,1,0.0,2.1,2.4,48.7,Sr,79,0.558797,99.7621,7.3,2022,45925,20.0,26.0,8.0,12.0,0.7692,0.6667,1.0,1.0,1.0,95.9421,100.24,1.04069,56.2793,-0.0572353,-0.953102,0.895867,-1.92332,11.3913,-2.2737,0.350376,1.1739,2.0,3.1739,0.3478,0.6087,0.2609,3.0435,PF/C
PATRICK TAPE,San Francisco,WCC,10,4.6,79.0,22.1,38.5,36.91,15.3,13.2,7.4,23.2,1,4,0.25,5,13,0.385,0,0,0.0,4.7,6.4,30.8,Sr,81,-0.0164482,84.1892,9.8,2022,45926,5.0,13.0,0.0,0.0,0.3846,0.0,1.0,1.0,1.0,91.7643,86.3006,0.631619,11.9698,2.66656,-2.43441,5.10098,-2.25004,4.5,-6.02294,3.77289,0.6,0.5,1.1,0.2,0.5,0.2,1.1,C
JORDAN BELL,Pacific,WCC,17,64.5,107.2,17.7,52.6,52.92,6.3,27.9,6.6,11.1,10,18,0.556,43,79,0.544,19,57,0.333,4.2,2.5,13.2,Sr,80,1.93469,106.879,4.6,2022,45936,32.0,49.0,11.0,30.0,0.6531,0.3667,3.0,5.0,0.6,96.4467,92.3199,3.12575,101.421,4.91663,1.36364,3.55299,4.22766,25.6111,1.90165,2.326,1.5,5.4444,6.9444,0.8889,1.1111,0.8889,8.9444,PF/C
JALEN DUPREE,Tennessee St.,OVC,11,25.3,92.6,27.8,50.7,52.61,14.1,15.1,12.0,25.1,15,25,0.6,28,53,0.528,4,14,0.286,5.1,0.6,37.3,Sr,80,0.82993,100.714,5.2,2022,46052,23.0,33.0,5.0,20.0,0.697,0.25,2.0,2.0,1.0,106.031,104.317,1.23157,33.4141,-1.39774,-1.61477,0.217035,-2.54231,15.8333,-1.07157,-1.47074,2.25,2.5,4.75,0.9167,0.1667,0.5833,8.0833,PF/C
ABDUL ADO,Cincinnati,Amer,33,68.2,105.8,12.9,55.4,58.01,11.3,16.8,4.8,24.4,42,63,0.667,77,139,0.554,0,0,0.0,8.4,1.4,45.3,Sr,83,1.3754,99.7836,3.3,2022,46092,58.0,89.0,19.0,50.0,0.6517,0.38,19.0,22.0,0.8636,96.2474,92.2343,3.33164,185.417,6.92933,1.10801,5.82132,3.80176,27.697,0.825936,2.97583,2.6061,4.2424,6.8485,0.7273,0.6364,2.0,5.9394,C
JAYLEN FORNES,UNC Wilmington,CAA,20,44.3,105.1,19.6,50.7,53.19,3.9,11.7,6.5,12.8,31,47,0.66,39,84,0.464,23,61,0.377,0.2,1.5,32.4,Sr,75,1.14759,100.83,2.8,2022,46155,25.0,51.0,14.0,33.0,0.4902,0.4242,2.0,2.0,1.0,102.448,108.056,1.41474,74.5563,-3.47768,-0.859934,-2.61775,-1.61511,21.3333,0.213669,-1.82878,0.7619,2.3333,3.0952,0.8095,0.7619,0.0476,9.2857,Wing G
